#q*Aangstroem	C14_ESRF_ID01 (4200 mm)*cm*sr	stddev*cm*sr
0.015001	42.951	0.017162
0.015055	42.985	0.017035
0.015110	42.986	0.017302
0.015164	42.958	0.017238
0.015219	42.930	0.017133
0.015273	42.902	0.017115
0.015327	42.873	0.016971
0.015382	42.850	0.017016
0.015436	42.829	0.016788
0.015491	42.835	0.016779
0.015545	42.844	0.016753
0.015600	42.821	0.016769
0.015654	42.791	0.016909
0.015709	42.765	0.016787
0.015763	42.733	0.016901
0.015817	42.691	0.016577
0.015872	42.670	0.016545
0.015926	42.658	0.016529
0.015981	42.648	0.016553
0.016035	42.641	0.016693
0.016090	42.614	0.016739
0.016144	42.567	0.016819
0.016199	42.549	0.016527
0.016253	42.544	0.016347
0.016307	42.545	0.016341
0.016362	42.515	0.016345
0.016416	42.490	0.016430
0.016471	42.474	0.016605
0.016525	42.445	0.016631
0.016580	42.448	0.016397
0.016634	42.450	0.016360
0.016689	42.439	0.016231
0.016743	42.430	0.016211
0.016798	42.430	0.016219
0.016852	42.408	0.016291
0.016906	42.390	0.016414
0.016961	42.379	0.016186
0.017015	42.358	0.016062
0.017070	42.318	0.016031
0.017124	42.301	0.016009
0.017179	42.289	0.015980
0.017233	42.272	0.015982
0.017288	42.253	0.015985
0.017342	42.253	0.016092
0.017396	42.248	0.015926
0.017451	42.244	0.016008
0.017505	42.231	0.015796
0.017560	42.203	0.015777
0.017614	42.171	0.015750
0.017669	42.138	0.015739
0.017723	42.142	0.015751
0.017778	42.129	0.015757
0.017832	42.095	0.015973
0.017886	42.061	0.015821
0.017941	42.044	0.015812
0.017995	42.055	0.015643
0.018050	42.048	0.015618
0.018104	42.021	0.015604
0.018159	42.003	0.015587
0.018213	41.961	0.015564
0.018268	41.912	0.015570
0.018322	41.902	0.015548
0.018376	41.915	0.015934
0.018431	41.923	0.015694
0.018485	41.905	0.015707
0.018540	41.905	0.015530
0.018594	41.899	0.015514
0.018649	41.890	0.015424
0.018703	41.867	0.015416
0.018758	41.813	0.015422
0.018812	41.780	0.015477
0.018867	41.758	0.015592
0.018921	41.720	0.015311
0.018975	41.698	0.015310
0.019030	41.690	0.015402
0.019084	41.685	0.015428
0.019139	41.677	0.015168
0.019193	41.666	0.015151
0.019248	41.646	0.015147
0.019302	41.627	0.015127
0.019357	41.611	0.015130
0.019411	41.603	0.015148
0.019465	41.584	0.015266
0.019520	41.559	0.015366
0.019574	41.556	0.015213
0.019629	41.554	0.015202
0.019683	41.544	0.015278
0.019738	41.530	0.015096
0.019792	41.516	0.015083
0.019847	41.501	0.015060
0.019901	41.497	0.015053
0.019955	41.495	0.015046
0.020010	41.481	0.014979
0.020064	41.469	0.014988
0.020119	41.462	0.015080
0.020173	41.450	0.014831
0.020228	41.437	0.014831
0.020282	41.402	0.014826
0.020337	41.369	0.014896
0.020391	41.364	0.015006
0.020446	41.342	0.014698
0.020500	41.318	0.014683
0.020554	41.303	0.014671
0.020609	41.297	0.014663
0.020663	41.282	0.014658
0.020718	41.252	0.014659
0.020772	41.245	0.014671
0.020827	41.244	0.014747
0.020881	41.218	0.015254
0.020936	41.198	0.014795
0.020990	41.196	0.014561
0.021044	41.186	0.014641
0.021099	41.156	0.014713
0.021153	41.134	0.014443
0.021208	41.127	0.014700
0.021262	41.118	0.014612
0.021317	41.102	0.014562
0.021371	41.063	0.014549
0.021426	41.033	0.014600
0.021480	41.040	0.014701
0.021534	41.055	0.014640
0.021589	41.056	0.014675
0.021643	41.035	0.014797
0.021698	41.003	0.014578
0.021752	40.967	0.014646
0.021807	40.951	0.014460
0.021861	40.958	0.014404
0.021916	40.945	0.014385
0.021970	40.923	0.014367
0.022025	40.907	0.014447
0.022079	40.896	0.014420
0.022133	40.890	0.014418
0.022188	40.872	0.014517
0.022242	40.848	0.014507
0.022297	40.831	0.014442
0.022351	40.806	0.014430
0.022406	40.794	0.014453
0.022460	40.791	0.014601
0.022515	40.773	0.014384
0.022569	40.746	0.014369
0.022623	40.739	0.014463
0.022678	40.717	0.014114
0.022732	40.717	0.014044
0.022787	40.723	0.014031
0.022841	40.709	0.013987
0.022896	40.698	0.013971
0.022950	40.682	0.013951
0.023005	40.659	0.013943
0.023059	40.652	0.013935
0.023113	40.650	0.013929
0.023168	40.645	0.013921
0.023222	40.628	0.013949
0.023277	40.608	0.013940
0.023331	40.618	0.014070
0.023386	40.618	0.014097
0.023440	40.589	0.013844
