B	C	D	E	F	G
0.20330	1.3480	0.0049370	0.0094000	0.20340	1.0000
0.20910	1.2530	0.0046450	0.0096050	0.20910	1.0000
0.21480	1.1560	0.0043760	0.0098110	0.21480	1.0000
0.22050	1.0730	0.0038810	0.010020	0.22050	1.0000
0.22610	0.99050	0.0034760	0.010220	0.22620	1.0000
0.23180	0.91620	0.0034660	0.010430	0.23180	1.0000
0.23740	0.85040	0.0031680	0.010640	0.23750	1.0000
0.24310	0.78950	0.0028370	0.010850	0.24310	1.0000
0.24870	0.73040	0.0026520	0.011060	0.24870	1.0000
0.25430	0.68110	0.0023290	0.011270	0.25430	1.0000
0.25990	0.63350	0.0021960	0.011470	0.25990	1.0000
0.26540	0.59200	0.0018800	0.011680	0.26550	1.0000
0.27100	0.55340	0.0019350	0.011890	0.27100	1.0000
0.27650	0.51620	0.0016750	0.012100	0.27650	1.0000
0.28200	0.48550	0.0016910	0.012310	0.28200	1.0000
0.28750	0.45350	0.0015640	0.012520	0.28750	1.0000
0.29300	0.42620	0.0013850	0.012720	0.29300	1.0000
0.29840	0.40110	0.0014950	0.012930	0.29850	1.0000
0.30390	0.37650	0.0012300	0.013140	0.30390	1.0000
0.30930	0.35570	0.0011920	0.013350	0.30930	1.0000
0.31470	0.33450	0.0012460	0.013550	0.31470	1.0000
0.32010	0.31870	0.0011720	0.013760	0.32010	1.0000
0.32540	0.29810	0.0010900	0.013970	0.32550	1.0000
0.33080	0.28480	0.0011100	0.014170	0.33080	1.0000
0.33610	0.26980	0.00099450	0.014380	0.33610	1.0000
0.34140	0.25810	0.00099950	0.014580	0.34140	1.0000
0.34670	0.24530	0.00092500	0.014790	0.34670	1.0000
0.35190	0.23250	0.00094760	0.014990	0.35190	1.0000
0.35720	0.22140	0.0010200	0.015200	0.35720	1.0000
0.36240	0.21120	0.00093070	0.015400	0.36240	1.0000
0.36760	0.20230	0.00091600	0.015600	0.36760	1.0000
0.37270	0.19470	0.00091460	0.015800	0.37280	1.0000
0.37790	0.18590	0.00090790	0.016000	0.37790	1.0000
0.38300	0.17830	0.00090100	0.016200	0.38300	1.0000
0.38810	0.16990	0.00099820	0.016400	0.38810	1.0000
0.39320	0.16190	0.00082440	0.016600	0.39320	1.0000
0.39830	0.15570	0.00095520	0.016800	0.39830	1.0000
0.40330	0.15120	0.00086200	0.017000	0.40330	1.0000
0.40830	0.14490	0.00080100	0.017190	0.40830	1.0000
0.41330	0.13980	0.00088820	0.017390	0.41330	1.0000
0.41830	0.13540	0.00077690	0.017590	0.41830	1.0000
0.42320	0.12990	0.00080980	0.017780	0.42330	1.0000
0.42820	0.12320	0.00072400	0.017970	0.42820	1.0000
0.43310	0.12190	0.00079200	0.018170	0.43310	1.0000
0.43800	0.11600	0.00068400	0.018360	0.43800	1.0000
0.44280	0.11220	0.00069410	0.018550	0.44280	1.0000
0.44760	0.10820	0.00077310	0.018740	0.44770	1.0000
0.45250	0.10430	0.00078210	0.018930	0.45250	1.0000
0.45720	0.10130	0.00078240	0.019120	0.45730	1.0000
0.46200	0.096520	0.00064590	0.019310	0.46200	1.0000
0.46670	0.095220	0.00079130	0.019500	0.46680	1.0000
0.47150	0.092350	0.00067860	0.019680	0.47150	1.0000
0.47620	0.089630	0.00069370	0.019870	0.47620	1.0000
0.48080	0.086830	0.00060520	0.020060	0.48080	1.0000
0.48550	0.084900	0.00071060	0.020240	0.48550	1.0000
0.49010	0.081360	0.00069190	0.020420	0.49010	1.0000
0.49470	0.079100	0.00072930	0.020610	0.49470	1.0000
0.49930	0.076990	0.00071990	0.020790	0.49930	1.0000
0.50380	0.073940	0.00065860	0.020970	0.50380	1.0000
0.50830	0.072110	0.00066080	0.021150	0.50830	1.0000
0.51280	0.070850	0.00063480	0.021330	0.51280	1.0000
0.51730	0.069600	0.00066680	0.021500	0.51730	1.0000
0.52180	0.067560	0.00060800	0.021680	0.52180	1.0000
0.52620	0.065850	0.00061870	0.021860	0.52620	1.0000
0.53060	0.064500	0.00065180	0.022030	0.53060	1.0000
0.53500	0.062860	0.00066710	0.022210	0.53500	1.0000
0.53930	0.062040	0.00057480	0.022380	0.53930	1.0000
0.54370	0.059510	0.00062220	0.022550	0.54370	1.0000
0.54800	0.059500	0.00061290	0.022730	0.54800	1.0000
0.55230	0.057000	0.00063560	0.022900	0.55230	1.0000
0.55650	0.056140	0.00063170	0.023070	0.55650	1.0000
0.56080	0.054620	0.00062430	0.023240	0.56080	1.0000
0.56500	0.053360	0.00066470	0.023400	0.56500	1.0000
0.56920	0.052840	0.00056040	0.023570	0.56920	1.0000
0.57330	0.051200	0.00065860	0.023740	0.57340	1.0000
0.57750	0.052260	0.00058630	0.023900	0.57750	1.0000
0.58160	0.050980	0.00061930	0.024070	0.58160	1.0000
0.58570	0.050020	0.00061830	0.024230	0.58570	1.0000
0.58980	0.047060	0.00066030	0.024390	0.58980	1.0000
0.59380	0.048000	0.00063080	0.024560	0.59380	1.0000
0.59780	0.046710	0.00061460	0.024720	0.59790	1.0000
0.60180	0.047100	0.00066820	0.024880	0.60190	1.0000
0.60580	0.045880	0.00063850	0.025040	0.60580	1.0000
0.60980	0.045600	0.00075690	0.025200	0.60980	1.0000
0.61370	0.045080	0.00083840	0.025350	0.61370	1.0000
0.61760	0.045300	0.00075310	0.025510	0.61760	1.0000
0.62150	0.043010	0.00077910	0.025660	0.62150	1.0000
0.62540	0.043070	0.00081320	0.025820	0.62540	1.0000
0.62920	0.041900	0.0011560	0.025970	0.62920	1.0000
0.63300	0.041510	0.0011510	0.026130	0.63300	1.0000
0.63680	0.043790	0.0011740	0.026280	0.63680	1.0000
0.64060	0.044620	0.0014240	0.026430	0.64060	1.0000
0.64430	0.040840	0.0014640	0.026580	0.64440	1.0000
0.64810	0.039690	0.0024200	0.026730	0.64810	1.0000
0.65180	0.036900	0.0013780	0.026880	0.65180	1.0000
0.65550	0.032750	0.0028880	0.027030	0.65550	1.0000
