B	C	D	E	F	G
0.20340	1.3830	0.0049700	0.0094040	0.20350	1.0000
0.20910	1.2820	0.0048450	0.0096090	0.20920	1.0000
0.21480	1.1840	0.0045040	0.0098150	0.21490	1.0000
0.22050	1.0990	0.0036900	0.010020	0.22060	1.0000
0.22620	1.0140	0.0037060	0.010230	0.22630	1.0000
0.23190	0.93890	0.0034720	0.010440	0.23190	1.0000
0.23750	0.87540	0.0030170	0.010640	0.23760	1.0000
0.24320	0.81130	0.0028260	0.010850	0.24320	1.0000
0.24880	0.75020	0.0025770	0.011060	0.24880	1.0000
0.25440	0.70160	0.0025170	0.011270	0.25440	1.0000
0.26000	0.65340	0.0022420	0.011480	0.26000	1.0000
0.26550	0.61070	0.0020440	0.011690	0.26560	1.0000
0.27110	0.56950	0.0018430	0.011900	0.27110	1.0000
0.27660	0.53080	0.0016190	0.012100	0.27660	1.0000
0.28210	0.49690	0.0016570	0.012310	0.28220	1.0000
0.28760	0.46710	0.0014300	0.012520	0.28760	1.0000
0.29310	0.43850	0.0015770	0.012730	0.29310	1.0000
0.29860	0.41070	0.0014390	0.012940	0.29860	1.0000
0.30400	0.38780	0.0013490	0.013140	0.30400	1.0000
0.30940	0.36480	0.0013010	0.013350	0.30940	1.0000
0.31480	0.34560	0.0012060	0.013560	0.31480	1.0000
0.32020	0.32910	0.0012520	0.013770	0.32020	1.0000
0.32560	0.31010	0.0011430	0.013970	0.32560	1.0000
0.33090	0.29510	0.0010370	0.014180	0.33090	1.0000
0.33620	0.27850	0.00098020	0.014380	0.33620	1.0000
0.34150	0.26570	0.00092240	0.014590	0.34150	1.0000
0.34680	0.25220	0.00092440	0.014790	0.34680	1.0000
0.35210	0.23970	0.00097080	0.015000	0.35210	1.0000
0.35730	0.22910	0.00096150	0.015200	0.35730	1.0000
0.36250	0.21820	0.0010760	0.015400	0.36250	1.0000
0.36770	0.20950	0.00087640	0.015610	0.36770	1.0000
0.37290	0.19820	0.00090730	0.015810	0.37290	1.0000
0.37800	0.19280	0.00087930	0.016010	0.37810	1.0000
0.38320	0.18250	0.00078680	0.016210	0.38320	1.0000
0.38830	0.17470	0.00091420	0.016410	0.38830	1.0000
0.39340	0.16900	0.00082200	0.016610	0.39340	1.0000
0.39840	0.16120	0.00079500	0.016810	0.39840	1.0000
0.40350	0.15740	0.00084920	0.017000	0.40350	1.0000
0.40850	0.15100	0.00080290	0.017200	0.40850	1.0000
0.41350	0.14360	0.00091100	0.017400	0.41350	1.0000
0.41850	0.13850	0.00084770	0.017590	0.41850	1.0000
0.42340	0.13260	0.00081240	0.017790	0.42340	1.0000
0.42830	0.12830	0.00079160	0.017980	0.42840	1.0000
0.43320	0.12420	0.00079810	0.018170	0.43330	1.0000
0.43810	0.11880	0.00067940	0.018370	0.43810	1.0000
0.44300	0.11590	0.00081520	0.018560	0.44300	1.0000
0.44780	0.11010	0.00080780	0.018750	0.44780	1.0000
0.45260	0.10800	0.00075460	0.018940	0.45260	1.0000
0.45740	0.10480	0.00078040	0.019130	0.45740	1.0000
0.46220	0.10080	0.00072750	0.019320	0.46220	1.0000
0.46690	0.097250	0.00073820	0.019510	0.46690	1.0000
0.47160	0.095470	0.00072130	0.019690	0.47170	1.0000
0.47630	0.092820	0.00070800	0.019880	0.47630	1.0000
0.48100	0.089080	0.00064350	0.020060	0.48100	1.0000
0.48560	0.087200	0.00076290	0.020250	0.48570	1.0000
0.49030	0.084320	0.00073650	0.020430	0.49030	1.0000
0.49490	0.082360	0.00067580	0.020610	0.49490	1.0000
0.49940	0.080430	0.00068720	0.020790	0.49950	1.0000
0.50400	0.076500	0.00069350	0.020980	0.50400	1.0000
0.50850	0.075940	0.00077390	0.021160	0.50850	1.0000
0.51300	0.073160	0.00067140	0.021330	0.51300	1.0000
0.51750	0.070740	0.00065380	0.021510	0.51750	1.0000
0.52200	0.069430	0.00063520	0.021690	0.52200	1.0000
0.52640	0.067500	0.00068490	0.021870	0.52640	1.0000
0.53080	0.066000	0.00073650	0.022040	0.53080	1.0000
0.53520	0.064780	0.00067340	0.022220	0.53520	1.0000
0.53950	0.064160	0.00060500	0.022390	0.53960	1.0000
0.54390	0.062250	0.00071750	0.022560	0.54390	1.0000
0.54820	0.059830	0.00062810	0.022730	0.54820	1.0000
0.55250	0.059250	0.00055580	0.022910	0.55250	1.0000
0.55670	0.058480	0.00057390	0.023080	0.55680	1.0000
0.56100	0.057110	0.00068180	0.023240	0.56100	1.0000
0.56520	0.055670	0.00060640	0.023410	0.56520	1.0000
0.56940	0.054550	0.00058260	0.023580	0.56940	1.0000
0.57360	0.054150	0.00067040	0.023750	0.57360	1.0000
0.57770	0.051920	0.00061870	0.023910	0.57770	1.0000
0.58180	0.052780	0.00061230	0.024080	0.58180	1.0000
0.58590	0.050520	0.00066300	0.024240	0.58590	1.0000
0.59000	0.049670	0.00061500	0.024400	0.59000	1.0000
0.59400	0.049370	0.00061510	0.024570	0.59410	1.0000
0.59810	0.049770	0.00060360	0.024730	0.59810	1.0000
0.60210	0.048790	0.00069050	0.024890	0.60210	1.0000
0.60610	0.049290	0.00087280	0.025050	0.60610	1.0000
0.61000	0.047390	0.00078370	0.025200	0.61000	1.0000
0.61390	0.046470	0.00082130	0.025360	0.61400	1.0000
0.61790	0.045410	0.0010110	0.025520	0.61790	1.0000
0.62170	0.044190	0.00092010	0.025670	0.62180	1.0000
0.62560	0.043760	0.00097140	0.025830	0.62560	1.0000
0.62950	0.044690	0.0011300	0.025980	0.62950	1.0000
0.63330	0.041640	0.0012770	0.026140	0.63330	1.0000
0.63710	0.045550	0.0013710	0.026290	0.63710	1.0000
0.64080	0.042080	0.0013400	0.026440	0.64080	1.0000
0.64460	0.040430	0.0014410	0.026590	0.64460	1.0000
0.64830	0.036540	0.0019150	0.026740	0.64830	1.0000
0.65200	0.040050	0.0016630	0.026890	0.65200	1.0000
0.65570	0.041920	0.0042210	0.027040	0.65570	1.0000
