B	C	D	E	F	G
0.12540	3.3690	0.010360	0.0057630	0.12550	1.0000
0.12890	3.2670	0.010170	0.0058870	0.12890	1.0000
0.13230	3.1610	0.0099680	0.0060110	0.13230	1.0000
0.13570	3.0480	0.010370	0.0061350	0.13570	1.0000
0.13910	2.9600	0.0090540	0.0062590	0.13910	1.0000
0.14250	2.8540	0.0076660	0.0063840	0.14250	1.0000
0.14580	2.7610	0.0086870	0.0065090	0.14590	1.0000
0.14920	2.6670	0.0080580	0.0066340	0.14920	1.0000
0.15260	2.5700	0.0082890	0.0067590	0.15260	1.0000
0.15590	2.4670	0.0080390	0.0068840	0.15590	1.0000
0.15930	2.3820	0.0074350	0.0070090	0.15930	1.0000
0.16260	2.2960	0.0072810	0.0071350	0.16260	1.0000
0.16590	2.2100	0.0068260	0.0072600	0.16590	1.0000
0.16920	2.1120	0.0067820	0.0073850	0.16920	1.0000
0.17250	2.0290	0.0064090	0.0075100	0.17250	1.0000
0.17580	1.9520	0.0064160	0.0076350	0.17580	1.0000
0.17910	1.8670	0.0063040	0.0077590	0.17910	1.0000
0.18230	1.7990	0.0063280	0.0078840	0.18230	1.0000
0.18560	1.7180	0.0051620	0.0080080	0.18560	1.0000
0.18880	1.6530	0.0057070	0.0081330	0.18880	1.0000
0.19200	1.5920	0.0057250	0.0082570	0.19210	1.0000
0.19530	1.5270	0.0055060	0.0083800	0.19530	1.0000
0.19850	1.4600	0.0055370	0.0085040	0.19850	1.0000
0.20170	1.3970	0.0050790	0.0086270	0.20170	1.0000
0.20480	1.3460	0.0054100	0.0087500	0.20480	1.0000
0.20800	1.2980	0.0048210	0.0088730	0.20800	1.0000
0.21120	1.2440	0.0046320	0.0089950	0.21120	1.0000
0.21430	1.2020	0.0046520	0.0091170	0.21430	1.0000
0.21740	1.1620	0.0051460	0.0092390	0.21740	1.0000
0.22050	1.1150	0.0045270	0.0093600	0.22060	1.0000
0.22360	1.0690	0.0050450	0.0094810	0.22370	1.0000
0.22670	1.0270	0.0043190	0.0096010	0.22670	1.0000
0.22980	0.98960	0.0047090	0.0097220	0.22980	1.0000
0.23290	0.95290	0.0053290	0.0098410	0.23290	1.0000
0.23590	0.91530	0.0043740	0.0099610	0.23590	1.0000
0.23900	0.88720	0.0048380	0.010080	0.23900	1.0000
0.24200	0.84750	0.0040030	0.010200	0.24200	1.0000
0.24500	0.83260	0.0050330	0.010320	0.24500	1.0000
0.24800	0.78700	0.0044530	0.010430	0.24800	1.0000
0.25100	0.76690	0.0040810	0.010550	0.25100	1.0000
0.25390	0.73650	0.0042500	0.010670	0.25400	1.0000
0.25690	0.71770	0.0040480	0.010780	0.25690	1.0000
0.25980	0.69310	0.0040610	0.010900	0.25990	1.0000
0.26280	0.67000	0.0036530	0.011020	0.26280	1.0000
0.26570	0.65340	0.0039850	0.011130	0.26570	1.0000
0.26860	0.62600	0.0037750	0.011250	0.26860	1.0000
0.27150	0.60090	0.0039200	0.011360	0.27150	1.0000
0.27430	0.58350	0.0041900	0.011470	0.27440	1.0000
0.27720	0.56960	0.0040370	0.011590	0.27720	1.0000
0.28000	0.55020	0.0036860	0.011700	0.28010	1.0000
0.28290	0.53050	0.0038590	0.011810	0.28290	1.0000
0.28570	0.51230	0.0032640	0.011920	0.28570	1.0000
0.28850	0.49650	0.0033070	0.012030	0.28850	1.0000
0.29130	0.48730	0.0037570	0.012140	0.29130	1.0000
0.29400	0.47210	0.0035410	0.012250	0.29410	1.0000
0.29680	0.46300	0.0034580	0.012360	0.29680	1.0000
0.29960	0.44610	0.0035570	0.012470	0.29960	1.0000
0.30230	0.43670	0.0031810	0.012580	0.30230	1.0000
0.30500	0.42500	0.0034390	0.012690	0.30500	1.0000
0.30770	0.41510	0.0035590	0.012800	0.30770	1.0000
0.31040	0.39600	0.0029600	0.012900	0.31040	1.0000
0.31310	0.38960	0.0029520	0.013010	0.31310	1.0000
0.31570	0.38260	0.0033640	0.013110	0.31570	1.0000
0.31840	0.36930	0.0032010	0.013220	0.31840	1.0000
0.32100	0.36320	0.0029570	0.013320	0.32100	1.0000
0.32360	0.35390	0.0027330	0.013430	0.32360	1.0000
