#q*Aangstroem	C14_ESRF_ID01 (521 mm)*cm*sr	stddev*cm*sr
0.12261	28.070	0.0066782
0.12305	27.968	0.0065647
0.12349	27.854	0.0066362
0.12393	27.741	0.0066036
0.12436	27.628	0.0066097
0.12480	27.516	0.0065379
0.12524	27.400	0.0065661
0.12568	27.285	0.0064355
0.12612	27.171	0.0064212
0.12656	27.053	0.0064039
0.12699	26.938	0.0064022
0.12743	26.829	0.0064636
0.12787	26.706	0.0063952
0.12831	26.585	0.0063194
0.12875	26.467	0.0063674
0.12919	26.340	0.0063237
0.12962	26.212	0.0063116
0.13006	26.094	0.0063022
0.13050	25.982	0.0063347
0.13094	25.870	0.0062423
0.13138	25.742	0.0061993
0.13182	25.615	0.0061514
0.13225	25.500	0.0061296
0.13269	25.388	0.0061103
0.13313	25.273	0.0060999
0.13357	25.147	0.0061240
0.13401	25.023	0.0060393
0.13445	24.898	0.0061465
0.13488	24.779	0.0059886
0.13532	24.662	0.0059625
0.13576	24.542	0.0059477
0.13620	24.425	0.0059266
0.13664	24.306	0.0059137
0.13708	24.192	0.0059578
0.13751	24.081	0.0058907
0.13795	23.956	0.0059183
0.13839	23.826	0.0058672
0.13883	23.704	0.0058237
0.13927	23.581	0.0057990
0.13970	23.461	0.0058537
0.14014	23.344	0.0058326
0.14058	23.234	0.0058248
0.14102	23.114	0.0057354
0.14146	22.992	0.0057579
0.14190	22.882	0.0056464
0.14233	22.766	0.0056671
0.14277	22.656	0.0056210
0.14321	22.536	0.0056027
0.14365	22.417	0.0056022
0.14409	22.302	0.0055891
0.14453	22.186	0.0056100
0.14496	22.070	0.0055565
0.14540	21.958	0.0055625
0.14584	21.836	0.0054635
0.14628	21.713	0.0054435
0.14672	21.592	0.0054206
0.14715	21.482	0.0054029
0.14759	21.369	0.0054120
0.14803	21.250	0.0054413
0.14847	21.130	0.0053302
0.14891	21.017	0.0053155
0.14935	20.914	0.0053238
0.14978	20.799	0.0053648
0.15022	20.687	0.0052362
0.15066	20.578	0.0052241
0.15110	20.469	0.0052062
0.15154	20.354	0.0051963
0.15198	20.241	0.0052143
0.15241	20.130	0.0052328
0.15285	20.019	0.0051227
0.15329	19.906	0.0051138
0.15373	19.800	0.0051317
0.15417	19.692	0.0051441
0.15460	19.583	0.0050375
0.15504	19.477	0.0050197
0.15548	19.365	0.0050872
0.15592	19.245	0.0051059
0.15636	19.141	0.0050671
0.15679	19.030	0.0050626
0.15723	18.920	0.0050894
0.15767	18.818	0.0049768
0.15811	18.711	0.0050094
0.15855	18.606	0.0049961
0.15898	18.504	0.0049955
0.15942	18.396	0.0048910
0.15986	18.286	0.0048487
0.16030	18.184	0.0048231
0.16074	18.080	0.0048024
0.16118	17.973	0.0047912
0.16161	17.864	0.0047762
0.16205	17.764	0.0047797
0.16249	17.665	0.0047067
0.16293	17.559	0.0046980
0.16337	17.457	0.0046959
0.16380	17.353	0.0047066
0.16424	17.248	0.0047268
0.16468	17.148	0.0046078
0.16512	17.051	0.0045898
0.16556	16.950	0.0045703
0.16599	16.851	0.0045532
0.16643	16.753	0.0045442
0.16687	16.656	0.0045307
0.16731	16.560	0.0045439
0.16775	16.460	0.0045532
0.16818	16.363	0.0044621
0.16862	16.263	0.0044519
0.16906	16.171	0.0044474
0.16950	16.075	0.0044582
0.16994	15.982	0.0043866
0.17037	15.887	0.0043663
0.17081	15.782	0.0044420
0.17125	15.685	0.0044023
0.17169	15.594	0.0043814
0.17213	15.506	0.0043614
0.17256	15.412	0.0043459
0.17300	15.317	0.0043325
0.17344	15.231	0.0043437
0.17388	15.141	0.0043778
0.17432	15.047	0.0042716
0.17475	14.956	0.0042566
0.17519	14.863	0.0042677
0.17563	14.773	0.0042046
0.17607	14.683	0.0041523
0.17651	14.592	0.0041358
0.17694	14.508	0.0041199
0.17738	14.418	0.0041064
0.17782	14.333	0.0040911
0.17826	14.248	0.0040813
0.17870	14.161	0.0040692
0.17913	14.073	0.0040666
0.17957	13.990	0.0040616
0.18001	13.900	0.0040844
0.18045	13.810	0.0040097
0.18088	13.728	0.0040222
0.18132	13.642	0.0041445
0.18176	13.558	0.0040043
0.18220	13.472	0.0039702
0.18264	13.389	0.0039473
0.18307	13.309	0.0039333
0.18351	13.223	0.0038943
0.18395	13.137	0.0039095
0.18439	13.058	0.0039027
0.18483	12.982	0.0038813
0.18526	12.903	0.0038684
0.18570	12.824	0.0038425
0.18614	12.745	0.0038263
0.18658	12.665	0.0038399
0.18701	12.589	0.0038366
0.18745	12.510	0.0038833
0.18789	12.428	0.0037734
0.18833	12.351	0.0037847
0.18877	12.275	0.0036920
0.18920	12.199	0.0036842
0.18964	12.118	0.0036694
0.19008	12.042	0.0036550
0.19052	11.968	0.0036349
0.19095	11.894	0.0036190
0.19139	11.819	0.0036065
0.19183	11.743	0.0035921
0.19227	11.669	0.0035915
0.19271	11.592	0.0036702
